milestone,issue_id,title,priority,owner_role,primary_docs,acceptance_criteria,dependencies,status,next_evidence
M2.5,M2.5-01,Freeze M2 provider contract and feature flags,P0,Backend/AI,18_M2_FROZEN_AND_M2_5_HANDOFF;23_M2_5_IMPLEMENTATION_PLAN,Existing contract tests pass; provider disable restores prior behavior,M2,COMPLETE,"test/services/extraction/provider_adapter_test.rb; test/services/extraction/provider_selection_test.rb"
M2.5,M2.5-02,Digital PDF parser adapter,P0,AI/Backend,03_TECHNICAL_ARCHITECTURE;23_M2_5_IMPLEMENTATION_PLAN,Digital PDF fixtures produce reproducible page structure and provenance,M2.5-01,COMPLETE,test/services/local_extraction/parser_adapter_test.rb
M2.5,M2.5-03,Scan layout OCR evidence adapter,P0,AI/Backend,19_OPEN_SOURCE_MODEL_STRATEGY;20_SYNTHETIC_CORPUS_GUIDE,Image/TIFF fixtures return OCR layout evidence or safe quality failure,M2.5-01,COMPLETE,test/services/local_extraction/parser_adapter_test.rb
M2.5,M2.5-04,Qwen canonical semantic extraction adapter,P0,AI/Backend,19_OPEN_SOURCE_MODEL_STRATEGY;invoice.schema.json,Supported fixtures return schema-valid candidates or explicit failure,M2.5-01,COMPLETE,test/services/local_extraction/semantic_route_test.rb
M2.5,M2.5-05,Compose local routes with provenance and idempotency,P0,Backend/AI,03_TECHNICAL_ARCHITECTURE;04_EXTRACTION_VALIDATION_SPEC,Replays are idempotent and every route/version is reproducible,"M2.5-02,M2.5-03,M2.5-04",COMPLETE,test/services/local_extraction/semantic_route_test.rb
M2.5,M2.5-06,Benchmark synthetic and real corpora,P0,Data/AI,06_EVALUATION_TEST_PLAN;22_MODEL_BENCHMARK_RUNBOOK,29 fixtures run; 25 ground truths scored; real holdout separate,M2.5-05,COMPLETE,test/services/evaluation/m2_5_benchmark_runner_test.rb
M2.5,M2.5-07,Bounded repair and safe model failure handling,P0,AI/Backend,04_EXTRACTION_VALIDATION_SPEC;22_MODEL_BENCHMARK_RUNBOOK,One field-scoped repair max; timeout/OOM/invalid output fail safely,"M2.5-04,M2.5-05",COMPLETE,"test/services/extraction/provider_adapter_test.rb; test/services/local_extraction/semantic_route_test.rb"
M2.5,M2.5-08,Select model configuration and approve rollout ADR,P0,Architecture/Product,10_ADRS;23_M2_5_IMPLEMENTATION_PLAN,Selected route documented; feature-flag rollback tested; M3 contract unchanged,"M2.5-06,M2.5-07",COMPLETE,"docs/invoice-parser-post-m2-5-final/docs/10_ADRS.md ADR-025; test/services/review/m3_workflow_test.rb"
M3,M3-01,Document workflow and Solid Queue jobs,P0,Backend,03_TECHNICAL_ARCHITECTURE,State/idempotency tests pass,M2,COMPLETE,"db/migrate/20260629120000_create_review_workflow.rb; app/jobs/review/process_document_job.rb; test/services/review/m3_workflow_test.rb"
M3,M3-02,Batch progress and risk queue,P0,Fullstack,02_PRD,Progress updates and risk sorting work,M3-01,COMPLETE,"app/services/review/batch_progress.rb; app/services/review/risk_queue.rb; app/views/review/batches/show.html.erb"
M3,M3-03,Evidence-backed document editor,P0,Fullstack,04_EXTRACTION_VALIDATION_SPEC,High-risk fields focus evidence,M3-02,COMPLETE,"app/services/review/revision_editor.rb; app/views/review/documents/show.html.erb"
M3,M3-04,Locale format and pack override,P0,Fullstack,14_GLOBALIZATION_STRATEGY,Operator override audited,M3-03,COMPLETE,"Review::RevisionEditor locale_overrides; test/services/review/m3_workflow_test.rb"
M3,M3-05,Acceptance policy,P0,Backend,06_EVALUATION_TEST_PLAN,No critical/high auto-accept,"M1-04,M2.5-06",COMPLETE,"app/services/review/acceptance_policy.rb; app/services/review/approval_service.rb"
M3,M3-06,Immutable revisions and audit,P0,Backend,03_TECHNICAL_ARCHITECTURE,Approved revision immutable,M3-03,COMPLETE,"app/models/review/candidate_revision.rb; app/models/review/event.rb"
M3,M3-07,Keyboard review workflow,P1,Fullstack,02_PRD,50-document system flow passes,M3-03,COMPLETE,"app/views/review/documents/show.html.erb; test/controllers/review_workflow_controller_test.rb"
M3,M3-08,Approved-revision export integration,P0,Backend,OpenAPI;exports,Only approved revisions exported,"M1-06,M3-06",COMPLETE,"app/services/review/approved_revision_exporter.rb; test/services/review/m3_workflow_test.rb"
M4,M4-01,Authentication and tenant isolation,P0,Security/Backend,05_SECURITY_PRIVACY,Cross-tenant tests fail closed,M3,NOT_STARTED,
M4,M4-02,Private object storage,P0,Infra,05_SECURITY_PRIVACY,Short-lived authenticated access,M2-01,NOT_STARTED,
M4,M4-03,Retention and deletion verifier,P0,Backend/Infra,07_OPERATIONS_RUNBOOK,All object classes reconciled,M4-02,NOT_STARTED,
M4,M4-04,Content-free logging proof,P0,Security,05_SECURITY_PRIVACY,Canary data absent from logs/errors,"M2.5,M3",NOT_STARTED,
M4,M4-05,Quotas spend limits circuit breaker,P0,Backend/Infra,07_OPERATIONS_RUNBOOK,Ceiling pauses external calls safely,M2.5-05,NOT_STARTED,
M4,M4-06,Deploy web job database and backups,P0,Infra,03_TECHNICAL_ARCHITECTURE,Pilot environment healthy,"M4-01,M4-02",NOT_STARTED,
M4,M4-07,Restore and recovery drills,P0,Infra,07_OPERATIONS_RUNBOOK,Evidence recorded and targets met,M4-06,NOT_STARTED,
M4,M4-08,Privacy residency launch approval,P0,Security,05_SECURITY_PRIVACY,Checklist signed,"M0-07,M4-03,M4-04",NOT_STARTED,
M4,M4-09,Security CI and upload abuse suite,P0,Security,05_SECURITY_PRIVACY,Brakeman/dependency/upload tests pass,M4-01,NOT_STARTED,
