fixture_id,file,kind,split,document_type,currency,country,expected_route,expected_status,ground_truth,expected_findings,notes,sha256
INV-001,documents/pdf/inv-001_us_office_supplies_with_sales_tax.pdf,visual_pdf,functional,invoice,USD,US,visual_model,ready_for_approval,ground_truth/INV-001.json,expected_findings/INV-001.json,US office supplies with sales tax,690965410e83325cf79f837fb7dbb574ebf0a1cfa0b776766f880dd0c0b83912
INV-002,documents/pdf/inv-002_uk_vat_services_invoice.pdf,visual_pdf,functional,invoice,GBP,GB,visual_model,ready_for_approval,ground_truth/INV-002.json,expected_findings/INV-002.json,UK VAT services invoice,8a3adc79b9434c88ac97414448b06f6cf4f654b1c6d8652f8697a19ef3feb23c
INV-003,documents/pdf/inv-003_eu_cross-border_reverse-charge_invoice.pdf,visual_pdf,functional,invoice,EUR,DE,visual_model,ready_for_approval,ground_truth/INV-003.json,expected_findings/INV-003.json,EU cross-border reverse-charge invoice,44e93f6ea3faa4970bbc94dab3df01c455dca23ec296af14bdb532df254e3841
INV-004,documents/pdf/inv-004_india_gst_goods_invoice.pdf,visual_pdf,functional,invoice,INR,IN,visual_model,ready_for_approval,ground_truth/INV-004.json,expected_findings/INV-004.json,India GST goods invoice,07741f809d40f929fa65b0c2c3c60fa1e99a065b24824a8c7b8718ece2f861ce
INV-005,documents/pdf/inv-005_japan_jpy_zero-decimal_invoice.pdf,visual_pdf,functional,invoice,JPY,JP,visual_model,ready_for_approval,ground_truth/INV-005.json,expected_findings/INV-005.json,Japan JPY zero-decimal invoice,f4e670a4a0bccb942a3e63bebede02a4b4b7d85c34eda038f785cce425f655b4
INV-006,documents/pdf/inv-006_kwd_three-decimal_currency_invoice.pdf,visual_pdf,functional,invoice,KWD,KW,visual_model,ready_for_approval,ground_truth/INV-006.json,expected_findings/INV-006.json,KWD three-decimal currency invoice,b88af361a17358040e4e35bfd2d76c14b0399a483fb76d6eae2f0b9157245d1f
INV-007,documents/pdf/inv-007_uae_vat_invoice.pdf,visual_pdf,functional,invoice,AED,AE,visual_model,ready_for_approval,ground_truth/INV-007.json,expected_findings/INV-007.json,UAE VAT invoice,e6df96e8e1c14e49ca2289151720b7510fc546c16680a0a258152191ebd8b577
INV-008,documents/pdf/inv-008_canada_hst_invoice.pdf,visual_pdf,functional,invoice,CAD,CA,visual_model,ready_for_approval,ground_truth/INV-008.json,expected_findings/INV-008.json,Canada HST invoice,3f3a6800f91a51fc404fb74d24fc0f5c2fb33e3e216c665ba18d1d067d19344f
INV-009,documents/pdf/inv-009_eur_credit_note.pdf,visual_pdf,functional,credit_note,EUR,DE,visual_model,ready_for_approval,ground_truth/INV-009.json,expected_findings/INV-009.json,EUR credit note,22bcb923c3aade01790db1ffa4348036075e4f4068e8e85607efbedeeff7037a
INV-010,documents/pdf/inv-010_simple_retail_receipt.pdf,visual_pdf,functional,receipt,USD,US,visual_model,ready_for_approval,ground_truth/INV-010.json,expected_findings/INV-010.json,Simple retail receipt,b3acdc49c3937fd097c1036edfc7609341cbd775a1efc2960c8edb7164be7509
INV-011,documents/pdf/inv-011_multi-page_line-item_invoice.pdf,visual_pdf,functional,invoice,EUR,DE,visual_model,ready_for_approval,ground_truth/INV-011.json,expected_findings/INV-011.json,Multi-page line-item invoice,adc3e19f8ad6e6f703bdd23548720b14971e90954f4cca0cb2b85a9bb529c125
INV-012,documents/pdf/inv-012_invoice_with_allowance_and_charge.pdf,visual_pdf,functional,invoice,GBP,GB,visual_model,ready_for_approval,ground_truth/INV-012.json,expected_findings/INV-012.json,Invoice with allowance and charge,b38261fe267044af54892a422c6d075ebb73cfe02a9b1e01d9fec0336969f787
INV-013,documents/pdf/inv-013_mexico_vat_and_withholding_invoice.pdf,visual_pdf,functional,invoice,MXN,MX,visual_model,ready_for_approval,ground_truth/INV-013.json,expected_findings/INV-013.json,Mexico VAT and withholding invoice,8faef69635fb505f05226fe137e9bdc79c480909666fcc6455657d97a661b8b5
INV-014,documents/pdf/inv-014_arithmetic_mismatch_invoice.pdf,visual_pdf,functional,invoice,USD,US,visual_model,needs_review,ground_truth/INV-014.json,expected_findings/INV-014.json,Arithmetic mismatch invoice,b58f3fc0a773fe1ed270abdbb70079f74b819feedc0ad0d07073e06c88d4743c
INV-015,documents/pdf/inv-015_missing_currency_invoice.pdf,visual_pdf,functional,invoice,UNKNOWN,GB,visual_model,needs_review,ground_truth/INV-015.json,expected_findings/INV-015.json,Missing currency invoice,d765ac21483fdfcb58c64ed6aa00ae511c05a2f8bb18f6c53f02704a1759a02a
