milestone,issue_id,title,priority,owner_role,primary_docs,acceptance_criteria,dependencies,status,readiness_note
M0,M0-01,Interview operators and baseline workflow,P0,Product,01_PRODUCT_BRIEF;09_BUSINESS_VALIDATION,At least 5 interviews and baseline minutes/error categories recorded,,Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M0,M0-02,Select pilot teams and sign data terms,P0,Founder,05_SECURITY_PRIVACY,Two pilots signed; roles/processors/retention documented,M0-01,Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M0,M0-03,Inventory pilot formats regions currencies languages,P0,Product,15_FORMAT_SUPPORT_MATRIX,Capability baseline agreed by pilots,M0-02,Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M0,M0-04,Freeze required fields and unacceptable errors,P0,Product,02_PRD;04_EXTRACTION_VALIDATION_SPEC,Pilot field profile and blocking errors signed off,M0-02,Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M0,M0-05,Freeze first-live capability statement,P0,Product,15_FORMAT_SUPPORT_MATRIX,No universal unsupported claim remains,"M0-03,M0-04",Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M0,M0-06,Collect and double-label initial corpus,P0,Data,06_EVALUATION_TEST_PLAN,100 double-reviewed holdout documents,M0-02,Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M0,M0-07,Approve hosting processor and retention plan,P0,Security,05_SECURITY_PRIVACY,Launch checklist approved,M0-02,Done,Closed by assumed M0 package; replace synthetic evidence before external use.
M1,M1-01,Implement Canonical Invoice v2,P0,Backend,invoice.schema.json,Schema fixtures pass,M0-04,Ready,May start in the order defined by m1/M1_HANDOFF.md.
M1,M1-02,Implement decimal and currency precision registry,P0,Backend,04_EXTRACTION_VALIDATION_SPEC,JPY USD KWD cases pass,M1-01,Ready,May start in the order defined by m1/M1_HANDOFF.md.
M1,M1-03,Implement generic identifiers taxes and classifications,P0,Backend,field_dictionary.yaml,No country-specific core columns,M1-01,Ready,May start in the order defined by m1/M1_HANDOFF.md.
M1,M1-04,Implement universal validation engine,P0,Backend,validation_rules.yaml,All universal test cases pass,"M1-02,M1-03",Ready,May start in the order defined by m1/M1_HANDOFF.md.
M1,M1-05,Implement generic duplicate fingerprint,P0,Backend,03_TECHNICAL_ARCHITECTURE,Duplicate test suite passes,M1-03,Ready,May start in the order defined by m1/M1_HANDOFF.md.
M1,M1-06,Implement JSON CSV XLSX exports,P0,Backend,samples exports,Exports reconcile and formula injection safe,M1-01,Ready,May start in the order defined by m1/M1_HANDOFF.md.
M1,M1-07,Define canonical schema and profile migration policy,P0,Backend/Product,10_ADRS;invoice.schema.json;region_profile.schema.json,Version compatibility and migration fixtures pass,M1-01,Ready,May start in the order defined by m1/M1_HANDOFF.md.
M2,M2-01,Secure upload inspection and hashing,P0,Backend,02_PRD;05_SECURITY_PRIVACY,Abuse and content-sniff tests pass,M1,Not Started,Blocked by prior milestone.
M2,M2-02,Format detector and quarantine route,P0,Backend,format_registry.yaml,Known formats route; unknown structured quarantines,M2-01,Not Started,Blocked by prior milestone.
M2,M2-03,PDF embedded payload detection,P1,Backend,15_FORMAT_SUPPORT_MATRIX,Hybrid fixture detected safely,M2-02,Not Started,Blocked by prior milestone.
M2,M2-04,Managed provider adapter with strict schema,P0,AI/Backend,prompts;invoice.schema.json,Contract tests and cost metadata pass,M1-01,Not Started,Blocked by prior milestone.
M2,M2-05,Extraction provenance and idempotency,P0,Backend,03_TECHNICAL_ARCHITECTURE,Repeat attempt does not duplicate approved state,M2-04,Not Started,Blocked by prior milestone.
M2,M2-06,Single targeted repair path,P1,AI/Backend,repair_system.txt,Only allowed fields patched; one attempt max,M2-04,Not Started,Blocked by prior milestone.
M2,M2-07,Golden-set benchmark runner,P0,Data/Backend,06_EVALUATION_TEST_PLAN,Reproducible per-profile report generated,"M0-06,M2-04",Not Started,Blocked by prior milestone.
M2,M2-08,Initial UBL/CII detection adapter,P1,Backend,format_registry.yaml,Synthetic structured fixtures map or quarantine,M2-02,Not Started,Blocked by prior milestone.
M3,M3-01,Document workflow and Solid Queue jobs,P0,Backend,03_TECHNICAL_ARCHITECTURE,State/idempotency tests pass,M2,Not Started,Blocked by prior milestone.
M3,M3-02,Batch progress and risk queue,P0,Fullstack,02_PRD,Progress updates and risk sorting work,M3-01,Not Started,Blocked by prior milestone.
